X,Timestamp,ID,GENDER,AGE,DATE_OF_BIRTH,NATIONALITY,COUNTRY_OF_RESIDENCE,ENGLISH_FIRST_LENGUAGE,IF_NOT_ENGLISH_SPECIFY,HIGHEST_LEVEL_EDUCATION,OCCUPATION,DOMINANT_HAND,DO_YOU_DRIVE,CURRENTLY_LEARNING_DRIVE,CURRENTLY_HOLD_LEARNING_DRIVER_PERMIT,CURRENTLY_HOLD_FULL_DRIVING_LICENSE,RECEIVE_FULL_DRIVING_LICENSE,AGE_STARTED_DRIVING,AVERAGE_KM_MILEAGE_PER_YEAR,HAVE_PENALTY_POINTS,PENALTY_POINTS_FOR_WHAT,COLLISIONS_LAST_TWO_YEARS,HOW_MANY_COLLISIONS_LAST_TWO_YEARS,HOW_SERIOUS_COLLISIONS,FOR_HOW_MANY_WERE_CULPABLE,EVER_SMOKED,SMOKE_CURRENTLY,HOW_MANY_YEARS_SMOKING,HOW_MANY_CIGARETTES_PER_WEEK,EVER_DRANK_ALCOHOL,DRINK_CURRENTLY,HOW_MANY_YEARS_DRINKING,HOW_MUCH_UNITS_OF_ALCOHOL_PER_WEEK,PREVIOUSLY_DIAGNOSED_HEALTH_CONDITION_REQUIRING_SIGNIFICANT_LIFESTYLE_CHANGES.,CONSIDER_YOURSELF_RISKTAKER,DEAL_WITH_RISK_AND_UNCERTANTLY_DAILY_BASIS,Admitting.that.your.tastes.are.different.from.those.of.a.friend,Going.camping.in.the.wilderness,Betting.a.day.s.income.at.the.horse.races,Investing.10..of.your.annual.income.in.a.moderate.growth.mutual.fund,Drinking.heavily.at.a.social.function,Taking.some.questionable.deductions.on.your.income.tax.return,Disagreeing.with.an.authority.figure.on.a.major.issue,Betting.a.day.s.income.at.a.high.stake.poker.game,Having.an.affair.with.a.married.man.woman,Passing.off.someone.else.s.work.as.your.own,Going.down.a.ski.run.that.is.beyond.your.ability,Investing.5..of.your.annual.income.in.a.very.speculative.stock,Going.whitewater.rafting.at.hight.water.in.the.spring,Betting.a.day.s.income.on.the.outcome.of.a.sporting.event,Engaging.in.unprotected.sex,Revealing.a.friend.s.secret.to.someone.else,Driving.a.car.without.wearing.a.seat.belt,Investing.10..of.your.annual.income.in.a.new.business.venture,Taking.a.skydiving.class,Riding.a.motorcycle.without.a.helmet,Choosing.a.career.that.you.truly.enjoy.over.a.more.secure.one,Speaking.your.mind.about.an.unpopular.issue.in.a.meeting.at.work,Sunbathing.without.sunscreen,Bungee.jumping.off.a.tall.bridge,Piloting.a.small.plane,Walking.home.alone.at.night.in.an.unsafe.area.of.town,Moving.to.a.city.far.away.from.your.extended.family,Starting.a.new.career.in.your.mid.thirties,Leaving.your.young.children.alone.at.home.while.running.an.errand,Not.returning.a.wallet.you.found.that.contains....200,I.plan.tasks.carefully,I.do.things.without.thinking,I.make.up.my.mind.quickly,I.am.happy.go.lucky,I.don.t..pay.attention.,I.have..racing..thoughts,I.plan.trips.well.ahead.of.time,I.am.self.controlled,I.concentrate.easily,I.save.regularly,I..squirm..at.plays.or.lectures,I.am.a.careful.thinker,I.plan.for.job.security,I.say.things.without.thinking,I.like.to.think.about.complex.problems,I.change.jobs,I.act..on.impulse.,I.get.easily.bored.when.solving.thought.problems,I.act.on.the.spur.of.the.moment,I.am.a.steady.thinker,I.change.residences,I.buy.things.on.impulse,I.can.only.think.about.one.thing.at.a.time,I.change.hobbies,I.spend.or.charge.more.than.I.earn,I.often.have.extraneous.thoughts.when.thinking,I.am.more.interested.in.the.present.than.the.future,I.am.restless.at.the.theater.or.lectures,I.like.puzzles,I.am.future.oriented
1,5/13/13 11:04,62723,Male,71,09/04/1941,American,USA,Yes,NA,Third Level (Honours degree),Pensioner,Right handed,NA,No,No,Yes,1956,16,5000,No,NA,No,NA,NA,NA,Yes,No,NA,NA,Yes,Yes,55,14,Yes,No,Yes,6,5,1,5,5,5,2,1,2,2,7,5,3,2,4,2,1,3,1,4,2,4,6,1,6,3,NA,2,3,1,1,2,3,3,1,1,2,2,2,2,4,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,3,3,2,3
2,5/14/13 15:20,62724,Male,68,03/07/1945,Irish,Ireland,Yes,NA,Third Level (Honours degree),Accounting & Finance,Right handed,Yes,Yes,NA,Yes,1964,17,32000,No,NA,No,NA,NA,NA,Yes,No,NA,NA,Yes,Yes,50,9,No,Yes,Yes,6,3,1,1,4,3,5,1,1,1,3,4,1,1,1,2,5,5,6,6,3,1,3,5,2,5,2,1,2,1,3,3,4,2,2,4,1,1,2,2,3,3,2,2,1,2,3,2,2,2,2,3,2,2,1,3,2,2,3,2
3,5/14/13 15:27,62747,Male,42,12/17/70,Irish,Ireland,Yes,NA,Fourth Level,Writing,Right handed,Yes,No,No,Yes,2004,30,15000,No,NA,No,NA,NA,NA,Yes,Yes,20,5,Yes,Yes,29,18,No,No,No,7,7,2,6,6,6,6,3,7,3,4,3,5,3,4,3,3,3,5,2,4,7,3,5,4,5,3,6,3,6,2,2,3,3,2,2,2,2,2,3,1,3,2,2,1,2,3,1,1,1,2,2,1,2,3,2,4,4,2,2
4,5/14/13 15:32,62722,Female,65,2/25/48,American,USA,Yes,NA,Fourth Level,Medical,Right handed,No,No,No,NA,1964,15,3500,No,NA,No,NA,N/A,N/A,Yes,No,NA,NA,Yes,Yes,47,21,Yes,NA,Yes,3,3,1,6,5,3,3,1,1,1,6,3,3,1,1,3,1,4,1,1,7,5,1,1,1,1,5,7,1,1,2,3,2,3,2,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,1,3,2
5,5/14/13 15:43,62746,Male,34,01/07/1979,Irish,Ireland,Yes,NA,Secondary (Leaving Cert),Sport & Well Being,Right handed,Yes,No,NA,Yes,2006,24,10000,No,NA,No,NA,NA,NA,Yes,No,NA,NA,Yes,Yes,10,1,No,Yes,Yes,7,7,1,2,5,5,7,1,1,1,7,1,7,1,2,2,5,5,7,1,7,7,5,6,6,6,7,7,1,4,3,4,4,1,1,4,2,3,4,2,2,2,1,4,2,2,3,2,3,3,3,2,1,3,3,3,4,2,1,2
6,5/14/13 15:57,62740,Male,34,06/07/1978,Australian,England,Yes,NA,NA,Administration & Management,Right handed,NA,No,No,Yes,1996,16,3000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,16,14,No,No,Yes,6,7,1,5,5,3,5,1,1,1,6,1,5,1,2,2,1,2,6,1,5,4,2,7,6,5,5,6,3,1,2,2,1,2,2,2,3,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,3,2,1,3,3,4
7,5/14/13 16:51,62721,Female,24,6/26/88,American,Ireland,Yes,NA,Fourth Level,Administration & Management,Right handed,Yes,No,No,Yes,2007,16,0,No,NA,Yes,NA,NA,NA,No,No,NA,NA,Yes,Yes,7,10,No,No,Yes,7,5,2,6,6,3,5,1,1,1,1,4,4,2,1,3,2,3,6,1,6,5,6,2,2,2,7,6,2,2,3,2,2,3,1,3,2,1,2,1,2,1,2,4,1,4,2,2,1,2,3,3,1,1,2,1,4,3,4,1
8,5/14/13 16:54,62741,Male,28,11/24/84,English,England,Yes,NA,Fourth Level,Computer & IT,Right handed,Yes,No,No,Yes,NA,17,10000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,10,7,No,Yes,No,5,3,2,5,6,5,3,3,2,2,4,5,2,3,2,2,2,4,5,3,5,4,5,4,5,4,5,3,5,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,4,2,2,3,3,2,1,2
9,5/14/13 17:05,62742,Male,30,5/28/82,Irish,Ireland,Yes,NA,Fourth Level,Advertising,Right handed,Yes,No,No,Yes,2002,17,12000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,12,0,No,No,Yes,6,6,1,7,5,4,6,1,2,1,2,2,3,3,1,2,1,4,6,1,2,6,5,4,2,3,6,6,4,1,2,2,3,2,2,3,3,2,2,1,1,2,1,2,1,3,3,1,3,2,2,2,3,1,1,3,2,1,3,2
10,5/14/13 17:26,62759,Male,29,11/30/87,Irish,Ireland,Yes,NA,Third Level (Honours degree),Banking,Right handed,Yes,No,No,Yes,2007,23,3000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,12.5,8,No,Yes,Yes,7,2,5,1,6,1,3,1,1,2,1,3,2,5,1,2,1,1,1,1,1,6,1,1,1,1,1,1,2,1,2,2,2,2,1,3,1,1,2,2,2,2,1,1,3,4,3,2,1,1,1,1,3,2,1,2,4,2,2,1
11,5/14/13 17:59,62758,Female,28,5/24/84,Irish,Ireland,Yes,NA,Fourth Level,Law,Right handed,Yes,No,No,Yes,2008,24,NA,No,NA,No,NA,NA,NA,Yes,No,NA,NA,Yes,Yes,13,10,No,No,No,5,5,1,5,5,5,5,1,1,4,4,5,4,1,3,5,5,5,5,1,7,5,5,5,4,5,5,5,4,2,1,3,2,3,2,NA,2,2,3,2,1,2,3,3,3,2,2,2,3,2,3,3,2,2,4,2,3,1,3,3
12,5/14/13 18:01,62720,Male,26,1/30/87,American,Ireland,Yes,NA,Third Level (Honours degree),Accounting & Finance,Left handed,Yes,No,No,Yes,2003,15,15000,No,NA,Yes,2,minor: scraped a wall and rear-ended someone,2,No,No,NA,NA,Yes,Yes,8,12,No,No,Yes,7,6,1,7,6,1,6,1,1,1,5,7,7,1,1,5,2,6,7,1,3,6,5,1,3,5,7,4,1,1,1,1,3,2,1,2,1,2,2,1,2,1,1,3,1,3,1,2,1,1,4,2,4,1,2,2,2,2,2,1
13,5/14/13 18:17,62755,Male,20,3/21/93,French,France,No,French,Third Level (Cert/Diploma/General degree),Study & Research,NA,Yes,No,Yes,Yes,2011,16,20000,No,NA,NA,NA,NA,NA,Yes,Yes,2,70,Yes,Yes,3,3,No,No,No,5,6,2,4,3,4,5,4,7,2,4,4,2,4,2,3,5,4,1,4,4,4,6,3,5,6,7,6,7,6,2,2,2,3,2,2,2,1,2,3,2,3,3,3,2,3,NA,NA,2,2,3,3,3,2,3,2,3,4,3,2
14,5/14/13 18:32,62756,Female,24,1/17/89,American,USA,Yes,NA,Fourth Level,Study & Research,Right handed,Yes,No,No,Yes,2005,16,1000,No,NA,Yes,1,Not very,0,Yes,No,NA,NA,Yes,Yes,3,3,No,No,No,6,7,1,4,5,5,6,1,1,1,1,4,4,1,2,2,5,1,6,1,7,7,7,7,1,6,7,7,4,1,4,2,3,3,1,3,NA,4,2,2,2,3,3,2,2,3,3,2,3,2,3,4,2,2,2,2,2,2,2,2
15,5/14/13 18:32,44390,Female,63,3/30/50,Irish,Ireland,Yes,NA,Third Level (Cert/Diploma/General degree),Administration & Management,Right handed,Yes,NA,Yes,Yes,1968,17,10000,No,NA,NA,NA,NA,NA,No,No,NA,NA,Yes,Yes,43,8,No,No,Yes,2,1,1,5,1,1,4,1,1,1,1,4,1,1,1,2,2,3,1,1,3,2,6,1,6,1,5,6,NA,1,1,2,4,3,2,2,1,1,2,1,2,2,2,2,1,3,2,1,1,3,2,2,2,3,1,3,3,3,1,2
16,5/14/13 18:47,62744,Female,22,6/15/90,Irish,Ireland,Yes,NA,Third Level (Cert/Diploma/General degree),Social Services,Right handed,Yes,No,Yes,No,2006,16,NA,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,7,4,No,Yes,Yes,6,5,1,4,7,7,7,1,1,4,6,1,3,1,4,4,1,3,7,1,7,7,6,7,7,7,7,7,1,5,2,3,2,3,2,2,3,2,3,4,2,2,3,3,2,2,3,2,2,3,1,3,2,1,3,3,3,1,1,3
